ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,11444,TEXTRANK.TXT,0.17447,0.18222,0.17826,1

ROUGE-3+StopWordRemoval,11444,TEXTRANK.TXT,0.14103,0.14732,0.14410,1

ROUGE-1+StopWordRemoval,90451,TEXTRANK.TXT,0.87981,1.00000,0.93606,1

ROUGE-2+StopWordRemoval,90451,TEXTRANK.TXT,0.87440,0.99451,0.93059,1

ROUGE-3+StopWordRemoval,90451,TEXTRANK.TXT,0.86893,0.98895,0.92506,1

ROUGE-1+StopWordRemoval,91143,TEXTRANK.TXT,0.91928,1.00000,0.95794,1

ROUGE-2+StopWordRemoval,91143,TEXTRANK.TXT,0.91892,1.00000,0.95775,1

ROUGE-3+StopWordRemoval,91143,TEXTRANK.TXT,0.90950,0.99015,0.94811,1

ROUGE-1+StopWordRemoval,9134,TEXTRANK.TXT,0.95833,1.00000,0.97872,1

ROUGE-2+StopWordRemoval,9134,TEXTRANK.TXT,0.94979,0.99127,0.97009,1

ROUGE-3+StopWordRemoval,9134,TEXTRANK.TXT,0.94118,0.98246,0.96137,1

ROUGE-1+StopWordRemoval,90696,TEXTRANK.TXT,0.68246,0.77419,0.72544,1

ROUGE-2+StopWordRemoval,90696,TEXTRANK.TXT,0.62381,0.70811,0.66329,1

ROUGE-3+StopWordRemoval,90696,TEXTRANK.TXT,0.60766,0.69022,0.64631,1

ROUGE-1+StopWordRemoval,109786,TEXTRANK.TXT,0.99342,1.00000,0.99670,1

ROUGE-2+StopWordRemoval,109786,TEXTRANK.TXT,0.99340,1.00000,0.99669,1

ROUGE-3+StopWordRemoval,109786,TEXTRANK.TXT,0.99338,1.00000,0.99668,1

ROUGE-1+StopWordRemoval,95227,TEXTRANK.TXT,0.55755,0.62500,0.58935,1

ROUGE-2+StopWordRemoval,95227,TEXTRANK.TXT,0.43321,0.48583,0.45802,1

ROUGE-3+StopWordRemoval,95227,TEXTRANK.TXT,0.38043,0.42683,0.40230,1

ROUGE-1+StopWordRemoval,9259,TEXTRANK.TXT,0.84834,1.00000,0.91795,1

ROUGE-2+StopWordRemoval,9259,TEXTRANK.TXT,0.84762,1.00000,0.91753,1

ROUGE-3+StopWordRemoval,9259,TEXTRANK.TXT,0.84689,1.00000,0.91710,1

ROUGE-1+StopWordRemoval,5334,TEXTRANK.TXT,0.28279,0.37097,0.32093,1

ROUGE-2+StopWordRemoval,5334,TEXTRANK.TXT,0.07407,0.09730,0.08411,1

ROUGE-3+StopWordRemoval,5334,TEXTRANK.TXT,0.02479,0.03261,0.02817,1

ROUGE-1+StopWordRemoval,90292,TEXTRANK.TXT,0.62925,0.76763,0.69159,1

ROUGE-2+StopWordRemoval,90292,TEXTRANK.TXT,0.56314,0.68750,0.61914,1

ROUGE-3+StopWordRemoval,90292,TEXTRANK.TXT,0.53767,0.65690,0.59134,1

ROUGE-1+StopWordRemoval,90448,TEXTRANK.TXT,0.71245,0.79426,0.75113,1

ROUGE-2+StopWordRemoval,90448,TEXTRANK.TXT,0.64655,0.72115,0.68182,1

ROUGE-3+StopWordRemoval,90448,TEXTRANK.TXT,0.64502,0.71981,0.68037,1

ROUGE-1+StopWordRemoval,90327,TEXTRANK.TXT,0.94444,0.99512,0.96912,1

ROUGE-2+StopWordRemoval,90327,TEXTRANK.TXT,0.93953,0.99020,0.96420,1

ROUGE-3+StopWordRemoval,90327,TEXTRANK.TXT,0.93458,0.98522,0.95923,1

ROUGE-1+StopWordRemoval,89985,TEXTRANK.TXT,0.91329,1.00000,0.95468,1

ROUGE-2+StopWordRemoval,89985,TEXTRANK.TXT,0.91304,1.00000,0.95455,1

ROUGE-3+StopWordRemoval,89985,TEXTRANK.TXT,0.91279,1.00000,0.95441,1

ROUGE-1+StopWordRemoval,109418,TEXTRANK.TXT,0.94737,0.99605,0.97110,1

ROUGE-2+StopWordRemoval,109418,TEXTRANK.TXT,0.94340,0.99206,0.96712,1

ROUGE-3+StopWordRemoval,109418,TEXTRANK.TXT,0.93939,0.98805,0.96311,1

